# Rank    Emoji    Category    Subcategory    Name
# 416    ♻️    Symbols    other-symbol    recycling symbol
# 417    🔹    Symbols    geometric    small blue diamond
# 418    🥓    Food & Drink    food-prepared    bacon
# 419    🥒    Food & Drink    food-vegetable    cucumber
# 420    🍸    Food & Drink    drink    cocktail glass
# 421    🥧    Food & Drink    food-sweet    pie
# 422    ♨️    Travel & Places    place-other    hot springs
# 423    💻    Objects    computer    laptop
# 424    🐖    Animals & Nature    animal-mammal    pig
# 425    ⚔️    Objects    tool    crossed swords
# 426    📈    Objects    office    chart increasing
# 427    ⛱️    Travel & Places    sky & weather    umbrella on ground
# 428    💊    Objects    medical    pill
# 429    👩    People & Body    person    woman
# 430    🌀    Travel & Places    sky & weather    cyclone
# 431    💆    People & Body    person-activity    person getting massage
# 432    🥩    Food & Drink    food-prepared    cut of meat
# 433    🎄    Activities    event    Christmas tree
# 434    🌽    Food & Drink    food-vegetable    ear of corn
435    🤥    Smileys & Emotion    face-neutral-skeptical    lying face
# 436    🏘️    Travel & Places    place-building    houses
# 437    🐎    Animals & Nature    animal-mammal    horse
# 438    🆘    Symbols    alphanum    SOS button
# 439    🇮🇳    Flags    country-flag    flag: India
# 440    1️⃣    Symbols    keycap    keycap: 1
# 441    🕯️    Objects    light & video    candle
# 442    🇨🇦    Flags    country-flag    flag: Canada
# 443    💏    People & Body    family    kiss
# 444    🥕    Food & Drink    food-vegetable    carrot
# 445    🗑️    Objects    office    wastebasket
# 446    🔮    Activities    game    crystal ball
# 447    🦀    Food & Drink    food-marine    crab
# 448    🐠    Animals & Nature    animal-marine    tropical fish
# 449    🌛    Travel & Places    sky & weather    first quarter moon face
# 450    👠    Objects    clothing    high-heeled shoe
# 451    ☮️    Symbols    religion    peace symbol
# 452    🐓    Animals & Nature    animal-bird    rooster
# 453    🥊    Activities    sport    boxing glove
# 454    🇹🇷    Flags    country-flag    flag: Turkey
# 455    🛐    Symbols    religion    place of worship
# 456    🚬    Objects    other-object    cigarette
# 457    🔰    Symbols    other-symbol    Japanese symbol for beginner
# 458    🌜    Travel & Places    sky & weather    last quarter moon face
# 459    🍴    Food & Drink    dishware    fork and knife
# 460    🥔    Food & Drink    food-vegetable    potato
# 461    🎓    Objects    clothing    graduation cap
# 462    👙    Objects    clothing    bikini
# 463    🗿    Objects    other-object    moai
# 464    🥑    Food & Drink    food-vegetable    avocado
